year,primary_type,crime_family,crime_count,arrest_rate,domestic_rate,crime_share_pct,yoy_change_pct,rank_in_year
2025,STALKING,Other,566,0.04240282685512368,0.47703180212014135,0.2392900779172462,18.410041841004183,18
2025,HOMICIDE,Other,426,0.32629107981220656,0.11737089201877934,0.1801017194218143,-23.92857142857143,19
2025,ARSON,Other,372,0.11559139784946236,0.08064516129032258,0.15727192400214768,-14.482758620689657,20
2025,CONCEALED CARRY LICENSE VIOLATION,Other,277,0.9711191335740073,0.0,0.1171083950231046,55.61797752808989,21
2025,LIQUOR LAW VIOLATION,Other,200,0.93,0.0,0.08455479785061704,11.731843575418994,22
2025,PROSTITUTION,Other,189,0.91005291005291,0.0,0.0799042839688331,-35.714285714285715,23
2025,INTIMIDATION,Other,143,0.02097902097902098,0.16783216783216784,0.060456680463191186,5.9259259259259265,24
2025,KIDNAPPING,Other,89,0.07865168539325842,0.3595505617977528,0.037626885043524586,-5.319148936170213,25
2025,OBSCENITY,Other,54,0.5185185185185185,0.2777777777777778,0.0228297954196666,-1.8181818181818181,26
2025,HUMAN TRAFFICKING,Other,15,0.06666666666666667,0.13333333333333333,0.006341609838796278,-11.76470588235294,27
2025,GAMBLING,Other,13,0.9230769230769231,0.0,0.005496061860290107,-40.909090909090914,28
2025,OTHER NARCOTIC VIOLATION,Other,10,0.5,0.0,0.004227739892530852,100.0,29
2025,PUBLIC INDECENCY,Other,10,1.0,0.0,0.004227739892530852,11.11111111111111,30
2025,NON-CRIMINAL,Other,3,1.0,0.0,0.0012683219677592555,0.0,31
2024,THEFT,Property,55397,0.06798202068704082,0.04357636695127895,23.481463898473198,,1
2024,BATTERY,Violent,42237,0.17030092099344177,0.5270497431162251,17.903254520638527,,2
2024,CRIMINAL DAMAGE,Other,26112,0.039292279411764705,0.13319546568627452,11.068252528420892,,3
2024,ASSAULT,Violent,21463,0.10697479383124446,0.2808088338070167,9.097652574199511,,4
2024,MOTOR VEHICLE THEFT,Other,19634,0.027554242640317816,0.01619639401039014,8.3223832009427,,5
2024,OTHER OFFENSE,Other,15358,0.18921734600859486,0.3630681078265399,6.509889029238973,,6
2024,DECEPTIVE PRACTICE,Other,14562,0.032207114407361626,0.015519846174975965,6.172483659576632,,7
2024,ROBBERY,Violent,8262,0.08061002178649238,0.025659646574679253,3.5020642765706733,,8
2024,BURGLARY,Other,7782,0.05345669493703418,0.03713698278077615,3.298603752151171,,9
